Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2446277.5,1985-07-31,10,721.9,-250562480.01075926,513936143.47495955,114500428.36646247,-1226316.9323888163,166753.48498397414,255118.2065912707,1259.2940107484721,-2579.4403664323117,-573.5649089023497
2446278.5,1985-08-01,10,721.9,-251788167.05145618,514101608.7040412,114755259.9338557,-1225056.908480715,164178.4350283126,254545.0709817034,1260.742745744255,-2570.668182434141,-572.7074861780202
2446279.5,1985-08-02,10,721.9,-253012593.3475044,514264503.26209635,115009518.79411438,-1223795.4466921657,161612.13577554366,253972.79208508434,1262.1698495412018,-2561.9389247187814,-571.8514856595275
2446280.5,1985-08-03,10,721.9,-254235757.47179678,514424835.8784093,115263205.80323805,-1222532.568527721,159054.54443299363,253401.368472342,1263.5755747301387,-2553.2523262249492,-570.996920993656
2446281.5,1985-08-04,10,721.9,-255457658.01860496,514582615.23960495,115516321.81579043,-1221268.2952408567,156505.6184741444,252830.79870092965,1264.9601708823825,-2544.6081217040473,-570.143805485759
2446282.5,1985-08-05,10,721.9,-256678293.60332975,514737849.98991394,115768867.68488608,-1220002.6478369709,153965.3156368261,252261.08131516355,1266.323884588958,-2536.0060477093753,-569.2921521058247
2446283.5,1985-08-06,10,721.9,-257897662.86225456,514890548.73143613,116020844.26217747,-1218735.647076346,151433.59392142057,251692.21484655546,1267.666959499273,-2527.445842585347,-568.441973494437
2446284.5,1985-08-07,10,721.9,-259115764.45230177,515040720.0244024,116272252.39784227,-1217467.3134770705,148910.41158907567,251124.197814139,1268.9896363592584,-2518.9272464567202,-567.593281968633
2446285.5,1985-08-08,10,721.9,-260332597.0507919,515188372.3874343,116523092.94057113,-1216197.667317924,146395.7271599303,250557.0287247904,1270.2921530489923,-2510.450001217847,-566.7460895276648
2446286.5,1985-08-09,10,721.9,-261548159.3552058,515333514.2978024,116773366.73755561,-1214926.7286412246,143889.49941135026,249990.70607354332,1271.574744619804,-2502.0138505219365,-565.900407858657
2446287.5,1985-08-10,10,721.9,-262762450.08294964,515476154.1916824,117023074.6344765,-1213654.5172556385,141391.68737617473,249425.22834389826,1272.8376433308704,-2493.6185397703634,-565.0562483421753
2446288.5,1985-08-11,10,721.9,-263975467.97112253,515616300.46440995,117272217.47549245,-1212381.0527389555,138902.25034097355,248860.59400812644,1274.0810786853106,-2485.26381610199,-564.2136220576965
2446289.5,1985-08-12,10,721.9,-265187211.77628708,515753961.47073334,117520796.10322891,-1211106.3544408265,136421.14784431513,248296.80152756808,1275.3052774657904,-2476.949428382543,-563.3725397889914
2446290.5,1985-08-13,10,721.9,-266397680.2742426,515889145.5250648,117768811.35876733,-1209830.441485466,133948.33967504493,247733.84935292552,1276.5104637696354,-2468.6751271940198,-562.5330120294171
2446291.5,1985-08-14,10,721.9,-267606872.25980106,516021860.90172976,118016264.08163464,-1208553.332774321,131483.7858705747,247171.73592455103,1277.6968590434572,-2460.44066482415,-561.6950489871223
2446292.5,1985-08-15,10,721.9,-268814786.54656553,516152115.8352146,118263155.10979307,-1207275.0469887047,129027.44671518206,246610.4596727294,1278.8646821173036,-2452.2457952559053,-560.8586605901712
2446293.5,1985-08-16,10,721.9,-270021421.9667114,516279918.52041286,118509485.27963023,-1205995.6025923954,126579.28273832063,246050.0190179556,1280.0141492383277,-2444.0902741570635,-560.0238564915844
2446294.5,1985-08-17,10,721.9,-271226777.3707703,516405277.1128692,118755255.42594944,-1204715.0178342036,124139.25471294075,245490.41237120732,1281.1454741039722,-2435.973858869828,-559.1906460742996
2446295.5,1985-08-18,10,721.9,-272430851.62741596,516528199.72902244,119000466.38196035,-1203433.3107505045,121707.32365382029,244931.63813421258,1282.2588678946745,-2427.8963084005036,-558.3590384560614
2446296.5,1985-08-19,10,721.9,-273633643.6232536,516648694.4464464,119245118.9792698,-1202150.4991677403,119283.45081590608,244373.69469971265,1283.354539306086,-2419.8573834092035,-557.5290424942275
2446297.5,1985-08-20,10,721.9,-274835152.26261073,516766769.3040892,119489214.04787304,-1200866.6007048879,116867.59769266537,243816.58045172,1284.4326945807848,-2411.8568461996165,-556.7006667905125
2446298.5,1985-08-21,10,721.9,-276035376.4673313,516882432.302511,119732752.41614501,-1199581.6327758965,114459.72601444769,243260.29376577164,1285.493537539491,-2403.894460708763,-555.8739196956498
2446299.5,1985-08-22,10,721.9,-277234315.17657155,516995691.40412,119975734.9108321,-1198295.612592094,112059.79774685692,242704.83300917796,1286.5372696117604,-2395.969992496768,-555.0488093139905
2446300.5,1985-08-23,10,721.9,-278431967.34659886,517106554.5334072,120218162.35704398,-1197008.5571645636,109667.77508913344,242150.19654126678,1287.564089866138,-2388.083208736583,-554.2253435080237
2446301.5,1985-08-24,10,721.9,-279628331.9505924,517215029.5771787,120460035.57824576,-1195720.483306488,107283.62047254674,241596.38271362305,1288.5741950397824,-2380.233878203628,-553.4035299028259
2446302.5,1985-08-25,10,721.9,-280823407.97844666,517321124.38478744,120701355.39625035,-1194431.4076354683,104907.29655879819,241043.38987032423,1289.5677795675322,-2372.4217712653012,-552.583375890428
2446303.5,1985-08-26,10,721.9,-282017194.43657684,517424846.76836246,120942122.63121112,-1193141.3465758092,102538.76623843436,240491.2163481711,1290.5450356104323,-2364.646659870327,-551.7648886341019
2446304.5,1985-08-27,10,721.9,-283209690.34772676,517526204.5030372,121182338.10161464,-1191850.3163607798,100177.9926292709,239939.86047691447,1291.5061530837281,-2356.9083175378637,-550.9480750725533
2446305.5,1985-08-28,10,721.9,-284400894.7507789,517625205.3271759,121422002.62427384,-1190558.3330348444,97824.93907482727,239389.32057947785,1292.4513196843652,-2349.206519346376,-550.1329419240172
2446306.5,1985-08-29,10,721.9,-285590806.70056677,517721856.94259846,121661117.01432124,-1189265.4124558668,95479.56914277255,238839.59497217575,1293.380720918041,-2341.5410419222203,-549.319495690251
2446307.5,1985-08-30,10,721.9,-286779425.2676893,517816167.01480395,121899682.08520246,-1187971.5702972873,93141.84662338257,238290.6819649283,1294.2945401258721,-2333.9116634279753,-548.5077426604104
2446308.5,1985-08-31,10,721.9,-287966749.5383275,517908143.1731923,122137698.64866991,-1186676.8220502734,90811.73552800859,237742.57986147184,1295.1929585107705,-2326.3181635505907,-547.6976889148217
2446309.5,1985-09-01,10,721.9,-289152778.6140635,517997793.0112848,122375167.51477677,-1185381.1830258449,88489.20008755782,237195.28695956583,1296.0761551635924,-2318.7603234893904,-546.8893403286363
2446310.5,1985-09-02,10,721.9,-290337511.611701,518085124.08694273,122612089.49187104,-1184084.6683569716,86174.2047509859,236648.8015511962,1296.9443070891773,-2311.2379259440895,-546.0827025753874
